JOLTS_Government,JOLTSDurableGoodsManuf,JOLTS_Information,JOLTSFinanceANDInsurance,JOLTSHealthCareSocialAssistance,JOLTSLeisureANDHospitality,JOLTSPrivEduHealthServices,JOLTSProf_AND_Bus.Services,JOLTSRetailTrade,JOLTSTransp_Warehousing_Utlts,JOLTSNondurableGoodsManuf,JTSJOL_TOTAL,UNEMPLOYED
1.0,0.9084397191432985,0.7289741828348553,0.8154822732826852,0.9766696270960894,0.9309616840943102,0.9775467104741157,0.9253645129041818,0.778202506217686,0.95918499387361,0.885298354147568,0.9589441027517032,-0.4469078511990613
0.9084397191432985,1.0,0.8731380917649971,0.8454036372474774,0.9266470980909478,0.9571269280815388,0.9265097468501952,0.9454292486763498,0.8261883753498425,0.9295801937479136,0.9393354306486901,0.960314459533734,-0.5195314215995479
0.7289741828348553,0.8731380917649971,1.0,0.746804562025827,0.7520880728467757,0.8122814506206586,0.7504723653084914,0.8143511788002984,0.730009344035503,0.7656844333728858,0.7918656391515834,0.8144645848168823,-0.533243188760481
0.8154822732826852,0.8454036372474774,0.746804562025827,1.0,0.8615289693454007,0.8825690834610292,0.8626928659003005,0.8584429940842795,0.7942692054538953,0.8211773745439119,0.7778596932209,0.8826192611020743,-0.6093083277683417
0.9766696270960894,0.9266470980909478,0.7520880728467757,0.8615289693454007,1.0,0.9599823506542854,0.9996415616994642,0.9552890739697546,0.81815223622619,0.9562944381292452,0.9101980999662789,0.9802896417889304,-0.4980841718440068
0.9309616840943102,0.9571269280815388,0.8122814506206586,0.8825690834610292,0.9599823506542854,1.0,0.961255602637724,0.9776225154442857,0.9007405970688274,0.9661854212429057,0.9428207669876866,0.9915567268739429,-0.5458515308545037
0.9775467104741157,0.9265097468501952,0.7504723653084914,0.8626928659003005,0.9996415616994642,0.961255602637724,1.0,0.9570380803433894,0.8210387984627354,0.9588556537918624,0.9104249197082489,0.9814360441551664,-0.4951194465943206
0.9253645129041818,0.9454292486763498,0.8143511788002984,0.8584429940842795,0.9552890739697546,0.9776225154442857,0.9570380803433894,1.0,0.8841735448735332,0.9587358396042179,0.9390707486440761,0.9857426940074673,-0.49461997081518144
0.778202506217686,0.8261883753498425,0.730009344035503,0.7942692054538953,0.81815223622619,0.9007405970688274,0.8210387984627354,0.8841735448735332,1.0,0.8650612819940618,0.8663159774407038,0.8926417269984392,-0.4882133521562638
0.95918499387361,0.9295801937479136,0.7656844333728858,0.8211773745439119,0.9562944381292452,0.9661854212429057,0.9588556537918624,0.9587358396042179,0.8650612819940618,1.0,0.932912943796741,0.9764387341010963,-0.4264330374129789
0.885298354147568,0.9393354306486901,0.7918656391515834,0.7778596932209,0.9101980999662789,0.9428207669876866,0.9104249197082489,0.9390707486440761,0.8663159774407038,0.932912943796741,1.0,0.9473896587447566,-0.43991868314566673
0.9589441027517032,0.960314459533734,0.8144645848168823,0.8826192611020743,0.9802896417889304,0.9915567268739429,0.9814360441551664,0.9857426940074673,0.8926417269984392,0.9764387341010963,0.9473896587447566,1.0,-0.5241649368473038
-0.4469078511990613,-0.5195314215995479,-0.533243188760481,-0.6093083277683417,-0.4980841718440068,-0.5458515308545037,-0.4951194465943206,-0.49461997081518144,-0.4882133521562638,-0.4264330374129789,-0.43991868314566673,-0.5241649368473038,1.0
