Sector_1,Sector_2,Correlation,Year
JOLTS_Government,JOLTS_Government,1.0,2001
JOLTS_Government,JOLTSDurableGoodsManuf,0.1902725924216302,2001
JOLTS_Government,JOLTS_Information,0.01776801708644907,2001
JOLTS_Government,JOLTSFinanceANDInsurance,0.40404597627061084,2001
JOLTS_Government,JOLTSHealthCareSocialAssistance,-0.3317937343327767,2001
JOLTS_Government,JOLTSLeisureANDHospitality,0.015842017111881077,2001
JOLTS_Government,JOLTSPrivEduHealthServices,-0.2184957466801354,2001
JOLTS_Government,JOLTSProf_AND_Bus.Services,0.17670317208541705,2001
JOLTS_Government,JOLTSRetailTrade,0.2192923537615435,2001
JOLTS_Government,JOLTSTransp_Warehousing_Utlts,0.0878362545206194,2001
JOLTS_Government,JOLTSNondurableGoodsManuf,-0.1335009792324959,2001
JOLTS_Government,JTSJOL_TOTAL,0.19177098766815576,2001
JOLTS_Government,UNEMPLOYED,-0.49175197252195085,2001
JOLTSDurableGoodsManuf,JOLTS_Government,0.1902725924216302,2001
JOLTSDurableGoodsManuf,JOLTSDurableGoodsManuf,1.0,2001
JOLTSDurableGoodsManuf,JOLTS_Information,0.9808360412363617,2001
JOLTSDurableGoodsManuf,JOLTSFinanceANDInsurance,0.8778572240693541,2001
JOLTSDurableGoodsManuf,JOLTSHealthCareSocialAssistance,0.6831552461296284,2001
JOLTSDurableGoodsManuf,JOLTSLeisureANDHospitality,0.921213045448148,2001
JOLTSDurableGoodsManuf,JOLTSPrivEduHealthServices,0.7203783238002199,2001
JOLTSDurableGoodsManuf,JOLTSProf_AND_Bus.Services,0.991085915102665,2001
JOLTSDurableGoodsManuf,JOLTSRetailTrade,0.7941167664848949,2001
JOLTSDurableGoodsManuf,JOLTSTransp_Warehousing_Utlts,0.8144278677268703,2001
JOLTSDurableGoodsManuf,JOLTSNondurableGoodsManuf,0.9468228838281134,2001
JOLTSDurableGoodsManuf,JTSJOL_TOTAL,0.9999062288258573,2001
JOLTSDurableGoodsManuf,UNEMPLOYED,-0.9375421456827002,2001
JOLTS_Information,JOLTS_Government,0.01776801708644907,2001
JOLTS_Information,JOLTSDurableGoodsManuf,0.9808360412363617,2001
JOLTS_Information,JOLTS_Information,1.0,2001
JOLTS_Information,JOLTSFinanceANDInsurance,0.781653109003532,2001
JOLTS_Information,JOLTSHealthCareSocialAssistance,0.69984145262623,2001
JOLTS_Information,JOLTSLeisureANDHospitality,0.8991357874514189,2001
JOLTS_Information,JOLTSPrivEduHealthServices,0.7147315790192517,2001
JOLTS_Information,JOLTSProf_AND_Bus.Services,0.9863157821343405,2001
JOLTS_Information,JOLTSRetailTrade,0.8222109143217027,2001
JOLTS_Information,JOLTSTransp_Warehousing_Utlts,0.7578431886143479,2001
JOLTS_Information,JOLTSNondurableGoodsManuf,0.980144239536841,2001
JOLTS_Information,JTSJOL_TOTAL,0.9792330705573231,2001
JOLTS_Information,UNEMPLOYED,-0.8520149762706134,2001
JOLTSFinanceANDInsurance,JOLTS_Government,0.40404597627061084,2001
JOLTSFinanceANDInsurance,JOLTSDurableGoodsManuf,0.8778572240693541,2001
JOLTSFinanceANDInsurance,JOLTS_Information,0.781653109003532,2001
JOLTSFinanceANDInsurance,JOLTSFinanceANDInsurance,1.0,2001
JOLTSFinanceANDInsurance,JOLTSHealthCareSocialAssistance,0.7172065947654281,2001
JOLTSFinanceANDInsurance,JOLTSLeisureANDHospitality,0.9157157022463246,2001
JOLTSFinanceANDInsurance,JOLTSPrivEduHealthServices,0.7896088024678685,2001
JOLTSFinanceANDInsurance,JOLTSProf_AND_Bus.Services,0.8122354696055732,2001
JOLTSFinanceANDInsurance,JOLTSRetailTrade,0.46415491317511653,2001
JOLTSFinanceANDInsurance,JOLTSTransp_Warehousing_Utlts,0.9367803544389023,2001
JOLTSFinanceANDInsurance,JOLTSNondurableGoodsManuf,0.7697988404095759,2001
JOLTSFinanceANDInsurance,JTSJOL_TOTAL,0.8837758598427664,2001
JOLTSFinanceANDInsurance,UNEMPLOYED,-0.9572969449494442,2001
JOLTSHealthCareSocialAssistance,JOLTS_Government,-0.3317937343327767,2001
JOLTSHealthCareSocialAssistance,JOLTSDurableGoodsManuf,0.6831552461296284,2001
JOLTSHealthCareSocialAssistance,JOLTS_Information,0.69984145262623,2001
JOLTSHealthCareSocialAssistance,JOLTSFinanceANDInsurance,0.7172065947654281,2001
JOLTSHealthCareSocialAssistance,JOLTSHealthCareSocialAssistance,1.0,2001
JOLTSHealthCareSocialAssistance,JOLTSLeisureANDHospitality,0.9032152565183019,2001
JOLTSHealthCareSocialAssistance,JOLTSPrivEduHealthServices,0.9929134698609153,2001
JOLTSHealthCareSocialAssistance,JOLTSProf_AND_Bus.Services,0.6086408187692433,2001
JOLTSHealthCareSocialAssistance,JOLTSRetailTrade,0.1725508024462971,2001
JOLTSHealthCareSocialAssistance,JOLTSTransp_Warehousing_Utlts,0.9104281738710004,2001
JOLTSHealthCareSocialAssistance,JOLTSNondurableGoodsManuf,0.8183875388034987,2001
JOLTSHealthCareSocialAssistance,JTSJOL_TOTAL,0.6899657202807111,2001
