DATE,JOLTS_Government,JOLTS_DurableGoodsManufacturing,JOLTS_Information,JOLTS_FinanceANDInsurance,JOLTS_HealthCareSocialAssistance,JOLTS_LeisureANDHospitality,JOLTS_PrivateEducation_HealthServices,JOLTSProfessional_AND_BusinessServices,JOLTS_RetailTrade,JOLT_TotalNonfarm,JOLTS_Transportion_Warehousing_Utilities,JOLTS_NondurableGoodsManuf,UNEMPLOY
2001-01-01,468.6666666666666667,278.0000000000000000,179.3333333333333333,219.6666666666666667,771.0000000000000000,650.0000000000000000,822.6666666666666667,940.3333333333333333,516.6666666666666667,5031.0000000000000000,141.6666666666666667,141.6666666666666667,6084.3333333333333333
2001-04-01,502.3333333333333333,219.0000000000000000,120.3333333333333333,205.6666666666666667,700.3333333333333333,518.6666666666666667,761.6666666666666667,784.0000000000000000,483.6666666666666667,4467.0000000000000000,126.0000000000000000,126.0000000000000000,6327.0000000000000000
2001-07-01,476.6666666666666667,187.6666666666666667,100.3333333333333333,204.6666666666666667,752.3333333333333333,557.3333333333333333,807.6666666666666667,664.6666666666666667,380.0000000000000000,4180.6666666666666667,136.6666666666666667,136.6666666666666667,6922.3333333333333333
2001-10-01,464.3333333333333333,141.3333333333333333,79.3333333333333333,150.0000000000000000,694.3333333333333333,420.3333333333333333,745.6666666666666667,588.3333333333333333,421.0000000000000000,3719.6666666666666667,109.6666666666666667,109.6666666666666667,7985.0000000000000000
2002-01-01,452.0000000000000000,150.0000000000000000,110.3333333333333333,197.0000000000000000,691.0000000000000000,393.3333333333333333,746.6666666666666667,519.3333333333333333,373.3333333333333333,3582.3333333333333333,88.6666666666666667,88.6666666666666667,8233.6666666666666667
2002-04-01,434.3333333333333333,148.0000000000000000,84.3333333333333333,173.0000000000000000,640.0000000000000000,372.3333333333333333,705.3333333333333333,540.6666666666666667,339.3333333333333333,3446.6666666666666667,106.6666666666666667,106.6666666666666667,8463.6666666666666667
2002-07-01,424.6666666666666667,152.6666666666666667,82.6666666666666667,156.3333333333333333,650.6666666666666667,374.0000000000000000,703.6666666666666667,577.3333333333333333,367.0000000000000000,3395.0000000000000000,84.3333333333333333,84.3333333333333333,8315.0000000000000000
2002-10-01,394.3333333333333333,138.0000000000000000,69.0000000000000000,186.0000000000000000,637.6666666666666667,388.3333333333333333,684.6666666666666667,598.0000000000000000,318.6666666666666667,3387.3333333333333333,95.6666666666666667,95.6666666666666667,8489.0000000000000000
2003-01-01,395.3333333333333333,123.3333333333333333,88.6666666666666667,158.6666666666666667,561.0000000000000000,368.6666666666666667,605.3333333333333333,627.3333333333333333,342.3333333333333333,3256.3333333333333333,88.6666666666666667,88.6666666666666667,8575.3333333333333333
2003-04-01,358.0000000000000000,110.0000000000000000,56.0000000000000000,157.3333333333333333,571.0000000000000000,408.3333333333333333,621.6666666666666667,607.6666666666666667,353.0000000000000000,3262.3333333333333333,100.0000000000000000,100.0000000000000000,9021.6666666666666667
2003-07-01,331.3333333333333333,123.3333333333333333,74.3333333333333333,180.0000000000000000,507.3333333333333333,374.3333333333333333,551.0000000000000000,576.6666666666666667,340.0000000000000000,3087.3333333333333333,94.6666666666666667,94.6666666666666667,8942.6666666666666667
2003-10-01,340.3333333333333333,145.6666666666666667,76.6666666666666667,160.6666666666666667,538.3333333333333333,447.3333333333333333,586.3333333333333333,615.3333333333333333,360.6666666666666667,3347.6666666666666667,94.6666666666666667,94.6666666666666667,8541.6666666666666667
2004-01-01,348.6666666666666667,145.0000000000000000,87.6666666666666667,220.6666666666666667,568.6666666666666667,454.6666666666666667,619.3333333333333333,582.0000000000000000,386.6666666666666667,3493.6666666666666667,86.3333333333333333,86.3333333333333333,8342.6666666666666667
2004-04-01,351.6666666666666667,171.3333333333333333,87.0000000000000000,199.6666666666666667,549.0000000000000000,435.0000000000000000,596.0000000000000000,628.0000000000000000,410.6666666666666667,3519.3333333333333333,83.6666666666666667,83.6666666666666667,8222.6666666666666667
2004-07-01,334.6666666666666667,169.6666666666666667,93.0000000000000000,245.0000000000000000,551.0000000000000000,501.6666666666666667,605.0000000000000000,669.0000000000000000,453.0000000000000000,3725.3333333333333333,93.0000000000000000,93.0000000000000000,8017.6666666666666667
2004-10-01,381.3333333333333333,172.6666666666666667,84.6666666666666667,206.6666666666666667,582.0000000000000000,461.6666666666666667,651.0000000000000000,777.0000000000000000,405.3333333333333333,3829.6666666666666667,85.0000000000000000,85.0000000000000000,7975.6666666666666667
